timestamp,date,config_name,domain,strategy_chunker,strategy_retriever,strategy_reranker,strategy_repacker,strategy_summarizer,query,our_answer,expected_answer,our_context_relevance,our_context_utilization,our_completeness,our_adherence,expected_context_relevance,expected_context_utilization,expected_completeness,expected_adherence,gap_relevance,gap_utilization,gap_completeness,gap_adherence
2026-06-06 23:45:16,2026-06-06,baseline_v1,covidqa,sentence,dense,cross_encoder,reverse,none,Which viruses may not cause prolonged inflammation due to strong induction of antiviral clearance?,"Based on the provided context, I cannot answer this question accurately. The information about viruses and their effects on inflammation is limited to specific studies (e.g., CMV, Norovirus, HCV) and does not provide a comprehensive comparison of viruses that may or may not cause prolonged inflammat","The viruses that may not cause prolonged inflammation due to strong induction of antiviral clearance are murine norovirus, human astrovirus, and murine cytomegalovirus.",-5.5084,0.3226,0.7143,0.75,0.4117647058823529,0.17647058823529413,0.42857142857142855,0.0,-5.9202,0.1461,0.2857,0.75
2026-06-06 23:45:35,2026-06-06,baseline_v1,covidqa,sentence,dense,cross_encoder,reverse,none,When was the first case of COVID-19 identified?,"I cannot answer this based on the provided context. The text only mentions that a cluster of pneumonia of unknown origin was identified in Wuhan, China, in December 2019, but it does not specify when the first individual case of COVID-19 was identified.",The first cases of COVID-19 were identified in the WHO European Region between 24 January and 21 February 2020.,6.8662,0.5833,0.2308,1.0,0.2692307692307692,0.07692307692307693,0.2857142857142857,1.0,6.597,0.5064,-0.0549,0.0
2026-06-06 23:45:53,2026-06-06,baseline_v1,covidqa,sentence,dense,cross_encoder,reverse,none,How many antigens could be detected by Liew's multiplex ELISA test?,"According to passage [5], Liew validated one multiplex ELISA for the detection of 9 antigens.",Liew's multiplex ELISA test could detect 9 antigens.,0.5969,0.7273,0.5714,1.0,0.125,0.0625,0.5,1.0,0.4719,0.6648,0.0714,0.0
2026-06-06 23:46:11,2026-06-06,baseline_v1,covidqa,sentence,dense,cross_encoder,reverse,none,What is the structure of Hantaan virus?,"I cannot answer this based on the provided context. The question asks about Hantaan virus, but the context only provides information about Puumala hantavirus, HTNV (Hantavirus Texas), and general characteristics of hantaviruses in general, without mentioning Hantaan virus specifically.","The structure of Hantaan virus is spherical or ovoid, composed of 20-30% fat, >50% protein, 7% carbohydrates, and 2% RNA. The genome comprises three negative sense, single-stranded RNAs that consist of the small, medium, and large segments encoding the nucleoprotein, envelope glycoproteins, and vira",2.7202,0.125,0.0526,0.5,0.3,0.3,1.0,1.0,2.4202,-0.175,-0.9474,-0.5
2026-06-06 23:46:27,2026-06-06,baseline_v1,covidqa,sentence,dense,cross_encoder,reverse,none,How many people did SARS-CoV infect?,"According to passage [4], SARS-CoV caused 8098 reported cases.",SARS-CoV infected 8098 reported cases and 774 deaths in 37 countries before the epidemic was controlled.,3.309,0.75,0.3333,1.0,0.06666666666666667,0.06666666666666667,1.0,1.0,3.2423,0.6833,-0.6667,0.0
2026-06-07 01:00:46,2026-06-07,baseline_v1,biomedical,sentence,dense,cross_encoder,reverse,none,Which viruses may not cause prolonged inflammation due to strong induction of antiviral clearance?,ERROR: Ollama is not running. Start it with: ollama serve,"The viruses that may not cause prolonged inflammation due to strong induction of antiviral clearance are murine norovirus, human astrovirus, and murine cytomegalovirus.",-5.5084,0.0,0.0,0.0,0.4117647058823529,0.17647058823529413,0.42857142857142855,0.0,-5.9202,-0.1765,-0.4286,0.0
2026-06-07 01:01:02,2026-06-07,baseline_v1,biomedical,sentence,dense,cross_encoder,reverse,none,When was the first case of COVID-19 identified?,ERROR: Ollama is not running. Start it with: ollama serve,The first cases of COVID-19 were identified in the WHO European Region between 24 January and 21 February 2020.,6.8662,0.0,0.0,0.0,0.2692307692307692,0.07692307692307693,0.2857142857142857,1.0,6.597,-0.0769,-0.2857,-1.0
2026-06-07 01:01:17,2026-06-07,baseline_v1,biomedical,sentence,dense,cross_encoder,reverse,none,How many antigens could be detected by Liew's multiplex ELISA test?,ERROR: Ollama is not running. Start it with: ollama serve,Liew's multiplex ELISA test could detect 9 antigens.,0.5969,0.0,0.0,0.0,0.125,0.0625,0.5,1.0,0.4719,-0.0625,-0.5,-1.0
2026-06-07 01:01:31,2026-06-07,baseline_v1,biomedical,sentence,dense,cross_encoder,reverse,none,What is the structure of Hantaan virus?,ERROR: Ollama is not running. Start it with: ollama serve,"The structure of Hantaan virus is spherical or ovoid, composed of 20-30% fat, >50% protein, 7% carbohydrates, and 2% RNA. The genome comprises three negative sense, single-stranded RNAs that consist of the small, medium, and large segments encoding the nucleoprotein, envelope glycoproteins, and vira",2.7202,0.0,0.0,0.0,0.3,0.3,1.0,1.0,2.4202,-0.3,-1.0,-1.0
2026-06-07 01:01:47,2026-06-07,baseline_v1,biomedical,sentence,dense,cross_encoder,reverse,none,How many people did SARS-CoV infect?,ERROR: Ollama is not running. Start it with: ollama serve,SARS-CoV infected 8098 reported cases and 774 deaths in 37 countries before the epidemic was controlled.,3.4663,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,1.0,1.0,3.3996,-0.0667,-1.0,-1.0
2026-06-07 01:02:01,2026-06-07,baseline_v1,biomedical,sentence,dense,cross_encoder,reverse,none,What was the focus of the study?,ERROR: Ollama is not running. Start it with: ollama serve,The focus of the study was to investigate community responses to communication campaigns for influenza A (H1N1) and to provide evidence-based practical information to guide the development and delivery of key health messages for H1N1 and other health campaigns. The study specifically focused on the ,1.7415,0.0,0.0,0.0,0.29411764705882354,0.17647058823529413,0.6,1.0,1.4474,-0.1765,-0.6,-1.0
2026-06-07 01:02:16,2026-06-07,baseline_v1,biomedical,sentence,dense,cross_encoder,reverse,none,What contributed to a large part of mammalian genomic sequence?,ERROR: Ollama is not running. Start it with: ollama serve,The syntenic whole-genome alignments produced by the MULTIZ program contributed to a large part of the mammalian genomic sequence.,-4.0226,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,1.0,1.0,-4.0782,-0.0556,-1.0,-1.0
